id,difficulty,question,option_a,option_b,option_c,option_d,answer,concept
54,hard,Which balance must always be satisfied? (Variant 18),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
55,easy,Which term is zero in steady-state mass balance? (Variant 19),Input,Output,Accumulation,Generation,2,mass_balance
56,medium,Why is a purge stream required in recycle systems? (Variant 19),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
57,hard,Which balance must always be satisfied? (Variant 19),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
58,easy,Which term is zero in steady-state mass balance? (Variant 20),Input,Output,Accumulation,Generation,2,mass_balance
59,medium,Why is a purge stream required in recycle systems? (Variant 20),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
60,hard,Which balance must always be satisfied? (Variant 20),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
61,easy,Which term is zero in steady-state mass balance? (Variant 21),Input,Output,Accumulation,Generation,2,mass_balance
62,medium,Why is a purge stream required in recycle systems? (Variant 21),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
63,hard,Which balance must always be satisfied? (Variant 21),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
64,easy,Which term is zero in steady-state mass balance? (Variant 22),Input,Output,Accumulation,Generation,2,mass_balance
65,medium,Why is a purge stream required in recycle systems? (Variant 22),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
66,hard,Which balance must always be satisfied? (Variant 22),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
67,easy,Which term is zero in steady-state mass balance? (Variant 23),Input,Output,Accumulation,Generation,2,mass_balance
68,medium,Why is a purge stream required in recycle systems? (Variant 23),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
69,hard,Which balance must always be satisfied? (Variant 23),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
70,easy,Which term is zero in steady-state mass balance? (Variant 24),Input,Output,Accumulation,Generation,2,mass_balance
71,medium,Why is a purge stream required in recycle systems? (Variant 24),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
72,hard,Which balance must always be satisfied? (Variant 24),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
73,easy,Which term is zero in steady-state mass balance? (Variant 25),Input,Output,Accumulation,Generation,2,mass_balance
74,medium,Why is a purge stream required in recycle systems? (Variant 25),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
75,hard,Which balance must always be satisfied? (Variant 25),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
76,easy,Which term is zero in steady-state mass balance? (Variant 26),Input,Output,Accumulation,Generation,2,mass_balance
77,medium,Why is a purge stream required in recycle systems? (Variant 26),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
78,hard,Which balance must always be satisfied? (Variant 26),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
79,easy,Which term is zero in steady-state mass balance? (Variant 27),Input,Output,Accumulation,Generation,2,mass_balance
80,medium,Why is a purge stream required in recycle systems? (Variant 27),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
81,hard,Which balance must always be satisfied? (Variant 27),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
82,easy,Which term is zero in steady-state mass balance? (Variant 28),Input,Output,Accumulation,Generation,2,mass_balance
83,medium,Why is a purge stream required in recycle systems? (Variant 28),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
84,hard,Which balance must always be satisfied? (Variant 28),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
85,easy,Which term is zero in steady-state mass balance? (Variant 29),Input,Output,Accumulation,Generation,2,mass_balance
86,medium,Why is a purge stream required in recycle systems? (Variant 29),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
87,hard,Which balance must always be satisfied? (Variant 29),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
88,easy,Which term is zero in steady-state mass balance? (Variant 30),Input,Output,Accumulation,Generation,2,mass_balance
89,medium,Why is a purge stream required in recycle systems? (Variant 30),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
90,hard,Which balance must always be satisfied? (Variant 30),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
91,easy,Which term is zero in steady-state mass balance? (Variant 31),Input,Output,Accumulation,Generation,2,mass_balance
92,medium,Why is a purge stream required in recycle systems? (Variant 31),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
93,hard,Which balance must always be satisfied? (Variant 31),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
94,easy,Which term is zero in steady-state mass balance? (Variant 32),Input,Output,Accumulation,Generation,2,mass_balance
95,medium,Why is a purge stream required in recycle systems? (Variant 32),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
96,hard,Which balance must always be satisfied? (Variant 32),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
97,easy,Which term is zero in steady-state mass balance? (Variant 33),Input,Output,Accumulation,Generation,2,mass_balance
98,medium,Why is a purge stream required in recycle systems? (Variant 33),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
99,hard,Which balance must always be satisfied? (Variant 33),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
100,easy,Which term is zero in steady-state mass balance? (Variant 34),Input,Output,Accumulation,Generation,2,mass_balance
101,medium,Why is a purge stream required in recycle systems? (Variant 34),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
102,hard,Which balance must always be satisfied? (Variant 34),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
103,easy,Which term is zero in steady-state mass balance? (Variant 35),Input,Output,Accumulation,Generation,2,mass_balance
104,medium,Why is a purge stream required in recycle systems? (Variant 35),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
105,hard,Which balance must always be satisfied? (Variant 35),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
106,easy,Which term is zero in steady-state mass balance? (Variant 36),Input,Output,Accumulation,Generation,2,mass_balance
107,medium,Why is a purge stream required in recycle systems? (Variant 36),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
108,hard,Which balance must always be satisfied? (Variant 36),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
109,easy,Which term is zero in steady-state mass balance? (Variant 37),Input,Output,Accumulation,Generation,2,mass_balance
110,medium,Why is a purge stream required in recycle systems? (Variant 37),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
111,hard,Which balance must always be satisfied? (Variant 37),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
112,easy,Which term is zero in steady-state mass balance? (Variant 38),Input,Output,Accumulation,Generation,2,mass_balance
113,medium,Why is a purge stream required in recycle systems? (Variant 38),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
114,hard,Which balance must always be satisfied? (Variant 38),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
115,easy,Which term is zero in steady-state mass balance? (Variant 39),Input,Output,Accumulation,Generation,2,mass_balance
116,medium,Why is a purge stream required in recycle systems? (Variant 39),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
117,hard,Which balance must always be satisfied? (Variant 39),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
118,easy,Which term is zero in steady-state mass balance? (Variant 40),Input,Output,Accumulation,Generation,2,mass_balance
119,medium,Why is a purge stream required in recycle systems? (Variant 40),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
120,hard,Which balance must always be satisfied? (Variant 40),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
121,easy,Which term is zero in steady-state mass balance? (Variant 41),Input,Output,Accumulation,Generation,2,mass_balance
122,medium,Why is a purge stream required in recycle systems? (Variant 41),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
123,hard,Which balance must always be satisfied? (Variant 41),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
124,easy,Which term is zero in steady-state mass balance? (Variant 42),Input,Output,Accumulation,Generation,2,mass_balance
125,medium,Why is a purge stream required in recycle systems? (Variant 42),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
126,hard,Which balance must always be satisfied? (Variant 42),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
127,easy,Which term is zero in steady-state mass balance? (Variant 43),Input,Output,Accumulation,Generation,2,mass_balance
128,medium,Why is a purge stream required in recycle systems? (Variant 43),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
129,hard,Which balance must always be satisfied? (Variant 43),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
130,easy,Which term is zero in steady-state mass balance? (Variant 44),Input,Output,Accumulation,Generation,2,mass_balance
131,medium,Why is a purge stream required in recycle systems? (Variant 44),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
132,hard,Which balance must always be satisfied? (Variant 44),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
133,easy,Which term is zero in steady-state mass balance? (Variant 45),Input,Output,Accumulation,Generation,2,mass_balance
134,medium,Why is a purge stream required in recycle systems? (Variant 45),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
135,hard,Which balance must always be satisfied? (Variant 45),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
136,easy,Which term is zero in steady-state mass balance? (Variant 46),Input,Output,Accumulation,Generation,2,mass_balance
137,medium,Why is a purge stream required in recycle systems? (Variant 46),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
138,hard,Which balance must always be satisfied? (Variant 46),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
139,easy,Which term is zero in steady-state mass balance? (Variant 47),Input,Output,Accumulation,Generation,2,mass_balance
140,medium,Why is a purge stream required in recycle systems? (Variant 47),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
141,hard,Which balance must always be satisfied? (Variant 47),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
142,easy,Which term is zero in steady-state mass balance? (Variant 48),Input,Output,Accumulation,Generation,2,mass_balance
143,medium,Why is a purge stream required in recycle systems? (Variant 48),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
144,hard,Which balance must always be satisfied? (Variant 48),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
145,easy,Which term is zero in steady-state mass balance? (Variant 49),Input,Output,Accumulation,Generation,2,mass_balance
146,medium,Why is a purge stream required in recycle systems? (Variant 49),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
147,hard,Which balance must always be satisfied? (Variant 49),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
148,easy,Which term is zero in steady-state mass balance? (Variant 50),Input,Output,Accumulation,Generation,2,mass_balance
149,medium,Why is a purge stream required in recycle systems? (Variant 50),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
150,hard,Which balance must always be satisfied? (Variant 50),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
151,easy,Which term is zero in steady-state mass balance? (Variant 51),Input,Output,Accumulation,Generation,2,mass_balance
152,medium,Why is a purge stream required in recycle systems? (Variant 51),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
153,hard,Which balance must always be satisfied? (Variant 51),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
154,easy,Which term is zero in steady-state mass balance? (Variant 52),Input,Output,Accumulation,Generation,2,mass_balance
155,medium,Why is a purge stream required in recycle systems? (Variant 52),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
156,hard,Which balance must always be satisfied? (Variant 52),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
157,easy,Which term is zero in steady-state mass balance? (Variant 53),Input,Output,Accumulation,Generation,2,mass_balance
158,medium,Why is a purge stream required in recycle systems? (Variant 53),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
159,hard,Which balance must always be satisfied? (Variant 53),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
160,easy,Which term is zero in steady-state mass balance? (Variant 54),Input,Output,Accumulation,Generation,2,mass_balance
161,medium,Why is a purge stream required in recycle systems? (Variant 54),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
162,hard,Which balance must always be satisfied? (Variant 54),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
163,easy,Which term is zero in steady-state mass balance? (Variant 55),Input,Output,Accumulation,Generation,2,mass_balance
164,medium,Why is a purge stream required in recycle systems? (Variant 55),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
165,hard,Which balance must always be satisfied? (Variant 55),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
166,easy,Which term is zero in steady-state mass balance? (Variant 56),Input,Output,Accumulation,Generation,2,mass_balance
167,medium,Why is a purge stream required in recycle systems? (Variant 56),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
168,hard,Which balance must always be satisfied? (Variant 56),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
169,easy,Which term is zero in steady-state mass balance? (Variant 57),Input,Output,Accumulation,Generation,2,mass_balance
170,medium,Why is a purge stream required in recycle systems? (Variant 57),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
171,hard,Which balance must always be satisfied? (Variant 57),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
172,easy,Which term is zero in steady-state mass balance? (Variant 58),Input,Output,Accumulation,Generation,2,mass_balance
173,medium,Why is a purge stream required in recycle systems? (Variant 58),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
174,hard,Which balance must always be satisfied? (Variant 58),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
175,easy,Which term is zero in steady-state mass balance? (Variant 59),Input,Output,Accumulation,Generation,2,mass_balance
176,medium,Why is a purge stream required in recycle systems? (Variant 59),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
177,hard,Which balance must always be satisfied? (Variant 59),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
178,easy,Which term is zero in steady-state mass balance? (Variant 60),Input,Output,Accumulation,Generation,2,mass_balance
179,medium,Why is a purge stream required in recycle systems? (Variant 60),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
180,hard,Which balance must always be satisfied? (Variant 60),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
181,easy,Which term is zero in steady-state mass balance? (Variant 61),Input,Output,Accumulation,Generation,2,mass_balance
182,medium,Why is a purge stream required in recycle systems? (Variant 61),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
183,hard,Which balance must always be satisfied? (Variant 61),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
184,easy,Which term is zero in steady-state mass balance? (Variant 62),Input,Output,Accumulation,Generation,2,mass_balance
185,medium,Why is a purge stream required in recycle systems? (Variant 62),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
186,hard,Which balance must always be satisfied? (Variant 62),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
187,easy,Which term is zero in steady-state mass balance? (Variant 63),Input,Output,Accumulation,Generation,2,mass_balance
188,medium,Why is a purge stream required in recycle systems? (Variant 63),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
189,hard,Which balance must always be satisfied? (Variant 63),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
190,easy,Which term is zero in steady-state mass balance? (Variant 64),Input,Output,Accumulation,Generation,2,mass_balance
191,medium,Why is a purge stream required in recycle systems? (Variant 64),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
192,hard,Which balance must always be satisfied? (Variant 64),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
193,easy,Which term is zero in steady-state mass balance? (Variant 65),Input,Output,Accumulation,Generation,2,mass_balance
194,medium,Why is a purge stream required in recycle systems? (Variant 65),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
195,hard,Which balance must always be satisfied? (Variant 65),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
196,easy,Which term is zero in steady-state mass balance? (Variant 66),Input,Output,Accumulation,Generation,2,mass_balance
197,medium,Why is a purge stream required in recycle systems? (Variant 66),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
198,hard,Which balance must always be satisfied? (Variant 66),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
199,easy,Which term is zero in steady-state mass balance? (Variant 67),Input,Output,Accumulation,Generation,2,mass_balance
200,medium,Why is a purge stream required in recycle systems? (Variant 67),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
201,hard,Which balance must always be satisfied? (Variant 67),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
202,easy,Which term is zero in steady-state mass balance? (Variant 68),Input,Output,Accumulation,Generation,2,mass_balance
203,medium,Why is a purge stream required in recycle systems? (Variant 68),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
204,hard,Which balance must always be satisfied? (Variant 68),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
205,easy,Which term is zero in steady-state mass balance? (Variant 69),Input,Output,Accumulation,Generation,2,mass_balance
206,medium,Why is a purge stream required in recycle systems? (Variant 69),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
207,hard,Which balance must always be satisfied? (Variant 69),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
208,easy,Which term is zero in steady-state mass balance? (Variant 70),Input,Output,Accumulation,Generation,2,mass_balance
209,medium,Why is a purge stream required in recycle systems? (Variant 70),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
210,hard,Which balance must always be satisfied? (Variant 70),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
211,easy,Which term is zero in steady-state mass balance? (Variant 71),Input,Output,Accumulation,Generation,2,mass_balance
212,medium,Why is a purge stream required in recycle systems? (Variant 71),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
213,hard,Which balance must always be satisfied? (Variant 71),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
214,easy,Which term is zero in steady-state mass balance? (Variant 72),Input,Output,Accumulation,Generation,2,mass_balance
215,medium,Why is a purge stream required in recycle systems? (Variant 72),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
216,hard,Which balance must always be satisfied? (Variant 72),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
217,easy,Which term is zero in steady-state mass balance? (Variant 73),Input,Output,Accumulation,Generation,2,mass_balance
218,medium,Why is a purge stream required in recycle systems? (Variant 73),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
219,hard,Which balance must always be satisfied? (Variant 73),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
220,easy,Which term is zero in steady-state mass balance? (Variant 74),Input,Output,Accumulation,Generation,2,mass_balance
221,medium,Why is a purge stream required in recycle systems? (Variant 74),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
222,hard,Which balance must always be satisfied? (Variant 74),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
223,easy,Which term is zero in steady-state mass balance? (Variant 75),Input,Output,Accumulation,Generation,2,mass_balance
224,medium,Why is a purge stream required in recycle systems? (Variant 75),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
225,hard,Which balance must always be satisfied? (Variant 75),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
226,easy,Which term is zero in steady-state mass balance? (Variant 76),Input,Output,Accumulation,Generation,2,mass_balance
227,medium,Why is a purge stream required in recycle systems? (Variant 76),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
228,hard,Which balance must always be satisfied? (Variant 76),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
